id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42837350,Oitava maravilha,290534035,Ubiratan,,-22.96787,-43.18473,Entire home/apt,$155.00,6,0,,,1,357
42837816,"Copacabana, Vista verde, 4 quadras praia, metrô",341154533,Renato,,-22.96339,-43.18332,Entire home/apt,$219.00,1,0,,,1,113
42838722,Dream Studio Prado Júnior - COPA,91654021,Daniel,"Copacabana, Rio de Janeiro, Brazil",-22.96357,-43.17519,Entire home/apt,$531.00,3,0,,,200,180
42838951,"3 Bed Modern Family Apt, Close to Beaches!",49441447,Hayden,"Copacabana, Rio de Janeiro, Brazil",-22.98568,-43.18971,Entire home/apt,$730.00,2,2,2020-03-22,0.22,1,8
42839884,QUARTO INCRÍVEL PARA ALUGAR EM COPACABANA -,341167506,Diogo,"Copacabana, Rio de Janeiro, Brazil",-22.96507,-43.17699,Shared room,$200.00,1,0,,,1,365
42842088,Muzy's House.,35504472,Tania,"Copacabana, Rio de Janeiro, Brazil",-22.96269,-43.1775,Entire home/apt,$286.00,3,0,,,1,348
42849997,Apartamento em Copacabana. Melhor localização!,341227353,Alysson,"Copacabana, Rio de Janeiro, Brazil",-22.96472,-43.18233,Entire home/apt,$570.00,2,1,2020-11-28,1.0,1,171
42851241,Wonderful flat in Santa Teresa,20370177,Sylvie,,-22.9207,-43.19085,Entire home/apt,$700.00,6,0,,,14,364
42851926,Belo quarto com vista ao Pão de Açucar em ótimo ap,65356739,Ignacio,"Flamengo, Rio de Janeiro, Brazil",-22.939320000000002,-43.178470000000004,Private room,$150.00,2,0,,,1,23
42853555,MANSÃO JOIE JOÁ #720,70646886,Eb,,-23.01669,-43.296040000000005,Entire home/apt,"$10,646.00",1,0,,,23,356
42854889,CLEAN & COMFORT ARPOADOR 2BDR A1-0011,341248628,Linkhouse,,-22.98527,-43.18987,Entire home/apt,"$1,304.00",1,0,,,18,363
42854948,IPANEMA & COPA PANORAMIC VIEW,341248628,Linkhouse,,-22.985879999999998,-43.189370000000004,Private room,$348.00,1,0,,,18,273
42854990,FANTASTIC BEACHFRONT 4-BDR BARRA B1-0016,341248628,Linkhouse,,-23.01419,-43.304629999999996,Entire home/apt,"$1,879.00",1,6,2020-11-30,2.17,18,301
42855117,FANTASTIC & REFORMED FLAT 4 BDR B11-007,341248628,Linkhouse,,-23.014429999999997,-43.30223,Entire home/apt,"$1,225.00",1,0,,,18,309
42855155,LOVELY APART-HOTEL 1-BDR LB1-0010,341248628,Linkhouse,,-22.9835,-43.21804,Entire home/apt,$279.00,1,0,,,18,283
42855184,MOUNTAIN VIEW APART-HOTEL 1-BDR LB1-0011,341248628,Linkhouse,,-22.98444,-43.21815,Entire home/apt,$837.00,1,0,,,18,0
42855203,ADORABLE LEBLON SPOT 3-BDR LB2-001,341248628,Linkhouse,,-22.98396,-43.222770000000004,Entire home/apt,$830.00,1,0,,,18,354
42855216,Y1-0025 - IPANEMA GATEWAY 2 SUITES (105),341248628,Linkhouse,,-22.98789,-43.19444,Entire home/apt,"$1,148.00",1,0,,,18,363
42855497,POSTCARD VIEW IPANEMA A1-001,341248628,Linkhouse,,-22.98535,-43.18916,Entire home/apt,$942.00,1,2,2020-11-16,0.81,18,355
42856207,Apartamento 1 Quarto no melhor ponto de Olaria,138418849,Felipe Mendes,,-22.85124,-43.260940000000005,Entire home/apt,$290.00,2,0,,,2,365
42856338,Apartamento Alto Laranjeiras,28012206,Valéria,"Laranjeiras, Rio de Janeiro, Brazil",-22.942529999999998,-43.19406,Entire home/apt,$201.00,2,43,2020-12-17,5.29,1,119
42857239,Apartamento Design - Posto 9 Ipanema,59519391,Márcio,"Ipanema, Rio de Janeiro, Brazil",-22.98447,-43.203309999999995,Entire home/apt,$414.00,2,20,2020-12-02,3.61,7,138
42859079,A5B - Flat Residencial Rio Centro,341275357,Albano,"Camorim, Rio de Janeiro, Brazil",-22.97622,-43.413709999999995,Entire home/apt,$193.00,2,4,2020-10-11,0.91,1,90
42860699,Ap Recreio todo montado lazer completo,296517423,Juliana,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",-23.012220000000003,-43.45384,Entire home/apt,$229.00,3,1,2020-11-03,0.58,1,313
42861685,Copacabana próximo a praia e ao metrô,341302973,Antonio Elton,,-22.96624,-43.17899,Entire home/apt,$301.00,1,2,2020-11-22,0.21,1,356
42862315,espaco santa Teresa,339776004,Fernando,"Santa Teresa, Rio de Janeiro, Brazil",-22.91817,-43.19123,Entire home/apt,$76.00,1,0,,,1,365
42864108,Excelente apartamento em Ipanema,327407072,Bruno,,-22.98493,-43.20362,Entire home/apt,"$1,300.00",2,0,,,1,12
